,Janin,y
Neg_446,0.1175370612789518,0
Neg_2228,0.0664282917891316,0
Neg_2386,0.027124068998321,0
Neg_2835,0.293177411739366,0
Neg_2149,0.1160026259428237,0
Neg_2248,0.1173819565464356,0
Neg_2739,0.1621234917561602,0
Neg_2580,0.2557584319017947,0
Neg_2765,0.0476618873516646,0
Neg_939,0.1650207032545095,0
Neg_1859,0.2413953500814364,0
Neg_1088,0.0119403917957283,0
Neg_448,0.2091826648603466,0
Neg_2831,0.0868701570715014,0
Neg_358,0.1582875554491592,0
Neg_2287,0.1300487757920385,0
Neg_2597,0.1689305166496694,0
Neg_2648,0.0815956666335486,0
Neg_152,0.0092292957530756,0
Neg_2086,0.1682612907874536,0
Neg_966,0.1737993861452485,0
Neg_2081,0.0780280033568062,0
Neg_2579,0.1868646401795453,0
Neg_542,0.0784282747227629,0
Neg_270,0.163271418723303,0
Neg_447,0.4067895194168077,0
Neg_2242,0.0958052433190561,0
Neg_1615,0.1846018071052716,0
Neg_103,0.0942823212037304,0
Neg_1048,0.0282651115108976,0
Neg_628,0.1707172814728032,0
Neg_2169,0.3036859340046027,0
Neg_599,0.1435349427007226,0
Neg_2490,0.1539309688621728,0
Neg_62,0.1219137365717411,0
Neg_1129,0.1119643521000327,0
Neg_190,0.3847046971188788,0
Neg_1522,0.2047555498200431,0
Neg_165,0.1587096742756355,0
Neg_1152,0.1280573907115263,0
Neg_217,0.1679467859705518,0
Neg_1140,0.172524250805537,0
Neg_2378,0.0922154370170814,0
Neg_1569,0.1302570865641678,0
Neg_662,0.1230535991061563,0
Neg_688,0.3085169304729942,0
Neg_541,0.2903377629641659,0
Neg_624,0.0632680657510399,0
Neg_2108,0.0920541933715318,0
Neg_2808,0.082121757862754,0
Neg_2794,0.1438789405851586,0
Neg_2286,0.1932794825845833,0
Neg_373,0.1129114497572047,0
Neg_2612,0.110689356026275,0
Neg_937,0.1626311221501498,0
Neg_1345,0.112177154756592,0
Neg_2671,0.1312838957149096,0
Neg_2855,0.2049294864807112,0
Neg_279,0.057823289711245,0
Neg_706,0.1258364732707944,0
Neg_2921,0.0907638434061425,0
Neg_994,0.2302935341838365,0
Neg_2453,0.1089708549613014,0
Neg_2074,0.1179598901289984,0
Neg_1803,0.0929510018409601,0
Neg_653,0.2056167579757124,0
Neg_1943,0.0980217039045736,0
Neg_1283,0.0280134012941351,0
Neg_1383,0.0309944227153255,0
Neg_325,0.0781738531453986,0
Neg_2702,0.0430676670283093,0
Neg_2180,0.1131489795102484,0
Neg_585,0.2283878194906955,0
Neg_2047,0.0867446328140589,0
Neg_2392,0.0850035940118796,0
Neg_919,0.3552969635523483,0
Neg_2566,0.086400835425685,0
Neg_404,0.2879311145033918,0
Neg_953,0.1092921079646323,0
Neg_1257,0.0510755031670832,0
Neg_1680,0.0683459478093479,0
Neg_1098,0.5616220231297198,0
Neg_1404,0.2053925233572854,0
Neg_79,0.164917700846104,0
Neg_2483,0.118398756704792,0
Neg_2866,0.1630518289105611,0
Neg_133,0.1998967364988973,0
Neg_1514,0.2447099874286764,0
Neg_1790,0.0414555276812298,0
Neg_2219,0.0471036188425867,0
Neg_2758,0.1556870038545192,0
Neg_621,0.1575166548374144,0
Neg_904,0.3541182479507586,0
Neg_736,0.2360812143503748,0
Neg_431,0.0602706283444327,0
Neg_2469,0.1855383458073409,0
Neg_2895,0.1815113194767368,0
Neg_202,0.1137454329554242,0
Neg_478,0.3092601156924435,0
Neg_1929,0.0447059092895422,0
Neg_1179,0.0174722196626836,0
Neg_116,0.1263072006639233,0
Neg_2854,0.1286773875793354,0
Neg_2229,0.0757468561574477,0
Neg_301,0.3484158169481161,0
Neg_2264,0.1131823752690914,0
Neg_58,0.0645351070631454,0
Neg_37,0.1474013865860844,0
Neg_1299,0.1713601162668996,0
Neg_2238,0.2044749135581441,0
Neg_1065,0.0990639981682571,0
Neg_2393,0.1758954913127999,0
Neg_1063,0.1248671850449881,0
Neg_2681,0.1334249527404626,0
Neg_1206,0.1638599437400164,0
Neg_926,0.1108524318266866,0
Neg_1834,0.1799348554711882,0
Neg_219,0.0768917896072543,0
Neg_1051,0.0676735516031787,0
Neg_2732,0.2208891645712557,0
Neg_22,0.3112590554366566,0
Neg_2672,0.1270724096058126,0
Neg_1925,0.0252776501037369,0
Neg_1046,0.2700253833485091,0
Neg_2602,0.026246355881133,0
Neg_2626,0.0547581068542493,0
Neg_664,0.1304423952197677,0
Neg_1033,0.1062654248119456,0
Neg_1541,0.0980916506914856,0
Neg_352,0.0027820061284413,0
Neg_2763,0.2944419134795915,0
Neg_2198,0.1117846066789626,0
Neg_260,0.2122887899475129,0
Neg_743,0.0772982067105857,0
Neg_1798,0.2547500225240833,0
Neg_805,0.0945929588546007,0
Neg_2446,0.1303877140457952,0
Neg_1456,0.2446195743606989,0
Neg_853,0.2904203127321648,0
Neg_1866,0.1444003996590069,0
Neg_1972,0.1507450761698163,0
Neg_1250,0.0940995668350859,0
Neg_2893,0.0965468820511657,0
Neg_415,0.1535615069698367,0
Neg_2440,0.1643414745769114,0
Neg_1947,0.1288419855354892,0
Neg_2296,0.0444636803794593,0
Neg_1491,0.0467312935524545,0
Neg_1592,0.1142641411821408,0
Neg_833,0.0214403627991255,0
Neg_2254,0.3653076311458603,0
Neg_2786,0.2767695803209601,0
Neg_1307,0.1481323547674063,0
Neg_1022,0.1392772641845731,0
Neg_2289,0.0503955957848732,0
Neg_2564,0.0232304610835228,0
Neg_1131,0.1051728954827783,0
Neg_2814,0.0622849725523825,0
Neg_2346,0.0703844835124985,0
Neg_2538,0.2573813922172145,0
Neg_503,0.2870446725872546,0
Neg_614,0.1561783091921322,0
Neg_2227,0.1339316827393922,0
Neg_1977,0.0508906811692003,0
Neg_1151,0.1229738512102698,0
Neg_2315,0.0839361908183804,0
Neg_1180,0.1353381808682515,0
Neg_308,0.1473137297751906,0
Neg_1426,0.0532426196458439,0
Neg_12,0.0642037408441688,0
Neg_506,0.1709214877778603,0
Neg_136,0.0918272144986021,0
Neg_378,0.0846651625007751,0
Neg_2058,0.049793164677366,0
Neg_2336,0.090009315431813,0
Neg_2220,0.0364733453047482,0
Neg_262,0.0169239721185303,0
Neg_1888,0.2606180623805023,0
Neg_2552,0.0670359681214732,0
Neg_1340,0.1181953543832719,0
Neg_1753,0.2373671947590965,0
Neg_941,0.0861071303669382,0
Neg_689,0.0385694276866676,0
Neg_403,0.0470537922519158,0
Neg_2524,0.0272855072441236,0
Neg_1006,0.0187356335451456,0
Neg_89,0.2895050435688945,0
Neg_1956,0.2112561944464702,0
Neg_2723,0.0865847552589119,0
Neg_34,0.1029446031637619,0
Neg_757,0.2306362249215636,0
Neg_1170,0.2331889925585933,0
Neg_1405,0.1036453383702155,0
Neg_1634,0.1462912188533471,0
Neg_835,0.1278855148448379,0
Neg_1809,0.0587042045945566,0
Neg_296,0.1252838694478475,0
Neg_1989,0.0339379145457469,0
Neg_636,0.1107561581488848,0
Neg_1350,0.1899095597486454,0
Neg_160,0.0955227636088144,0
Neg_1524,0.0449361843939671,0
Neg_836,0.0270064771204419,0
Neg_1885,0.0536820276118145,0
Neg_1723,0.1322709490583668,0
Neg_1139,0.0333395288675656,0
Neg_531,0.0650259450693359,0
Neg_131,0.0331410164687097,0
Neg_226,0.154898114663818,0
Neg_2031,0.0245019342089652,0
Neg_1050,0.1314608095334357,0
Neg_2215,0.1847411684608252,0
Neg_1008,0.2600153490014306,0
Neg_755,0.223140585681891,0
Neg_1309,0.3434650815581004,0
Neg_1348,0.1377070128329861,0
Neg_2829,0.0899155177536468,0
Neg_1281,0.112014803933351,0
Neg_2879,0.1875131767955954,0
Neg_2182,0.0852006742447875,0
Neg_513,0.2123573694916122,0
Neg_2222,0.1058413330104414,0
Neg_2348,0.0362775006036066,0
Neg_549,0.3411196674765251,0
Neg_2669,0.1751002545378613,0
Neg_1248,0.1094759822771883,0
Neg_19,0.1370535687406349,0
Neg_1763,0.0665054722765036,0
Neg_2832,0.0348104029055891,0
Neg_1992,0.0619456632150044,0
Neg_2675,0.1220904063133023,0
Neg_203,0.0931441452845513,0
Neg_2314,0.119933193812523,0
Neg_460,0.2452794638007035,0
Neg_248,0.0576964464031755,0
Neg_418,0.0995621544197606,0
Neg_1007,0.0875160139599146,0
Neg_2178,0.1158426958300926,0
Neg_537,0.0146637588135561,0
Neg_97,0.0687835357923281,0
Neg_1719,0.177541010779388,0
Neg_1777,0.0751542820860649,0
Neg_771,0.0684435064811504,0
Neg_2070,0.1304560806814048,0
Neg_1418,0.1744355766597966,0
Neg_1167,0.034726682345007,0
Neg_2477,0.0613472424728231,0
Neg_715,0.1133649767881274,0
Neg_616,0.0944019366138523,0
Neg_558,0.2180813517428709,0
