,Bulkiness,y
Neg_446,0.087136159914079,0
Neg_2228,0.0736745022231791,0
Neg_2386,0.0141026130646659,0
Neg_2835,0.078246741664498,0
Neg_2149,0.023286507441581,0
Neg_2248,0.0546389647464807,0
Neg_2739,0.0132766966200518,0
Neg_2580,0.0264001540650743,0
Neg_2765,0.0497075175071954,0
Neg_939,0.0364286055762417,0
Neg_1859,0.0303870823899882,0
Neg_1088,0.0435533560106589,0
Neg_448,0.0328341253047161,0
Neg_2831,0.0257286810326379,0
Neg_358,0.0303349314430229,0
Neg_2287,0.0044187139701385,0
Neg_2597,0.0683613431474903,0
Neg_2648,0.0397731702042284,0
Neg_152,0.0196215400816797,0
Neg_2086,0.0429220104628474,0
Neg_966,0.0252293980286583,0
Neg_2081,0.0333884257230075,0
Neg_2579,0.0329851179837549,0
Neg_542,0.0269972823139239,0
Neg_270,0.0173938626696261,0
Neg_447,0.0654961987194059,0
Neg_2242,0.0491384729182763,0
Neg_1615,0.0438898770584679,0
Neg_103,0.0254142013608961,0
Neg_1048,0.0591685809940987,0
Neg_628,0.0798634468192615,0
Neg_2169,0.0974652119182183,0
Neg_599,0.0075795376136582,0
Neg_2490,0.0215818699488831,0
Neg_62,0.0096531425302577,0
Neg_1129,0.0162692311230109,0
Neg_190,0.0682544512310782,0
Neg_1522,0.0271485233660073,0
Neg_165,0.0447677086486857,0
Neg_1152,0.073167393914951,0
Neg_217,0.0337447508353347,0
Neg_1140,0.0152326910305539,0
Neg_2378,0.0259393538876109,0
Neg_1569,0.0381494648809238,0
Neg_662,0.0473045745081105,0
Neg_688,0.0540996910713547,0
Neg_541,0.1124756643412597,0
Neg_624,0.0428702726956504,0
Neg_2108,0.04462349530856,0
Neg_2808,0.0400655145447408,0
Neg_2794,0.0513099886593199,0
Neg_2286,0.0062636525505508,0
Neg_373,0.0161789940483376,0
Neg_2612,0.052908397307571,0
Neg_937,0.0337642813503569,0
Neg_1345,0.0388438683092945,0
Neg_2671,0.0404407622616024,0
Neg_2855,0.0488709706631056,0
Neg_279,0.0284679014189615,0
Neg_706,0.0375545717499638,0
Neg_2921,0.0092919278585583,0
Neg_994,0.0465202676420892,0
Neg_2453,0.0534937056607349,0
Neg_2074,0.0401025074074008,0
Neg_1803,0.0733437997863324,0
Neg_653,0.0724019224501488,0
Neg_1943,0.0717480338383589,0
Neg_1283,0.0333936021055683,0
Neg_1383,0.0718688618821055,0
Neg_325,0.0281671212730426,0
Neg_2702,0.0143332208101011,0
Neg_2180,0.0305629850257329,0
Neg_585,0.0468879957865866,0
Neg_2047,0.057073028334886,0
Neg_2392,0.05341096212683,0
Neg_919,0.0518502685069116,0
Neg_2566,0.0259507580864423,0
Neg_404,0.0395787275524442,0
Neg_953,0.05211795894831,0
Neg_1257,0.0750493898419271,0
Neg_1680,0.0154734094092195,0
Neg_1098,0.0548876569348525,0
Neg_1404,0.0391496907652038,0
Neg_79,0.0356559914620516,0
Neg_2483,0.0690681706333433,0
