,Flexibility,y
Neg_446,0.0724086616379626,0
Neg_2228,0.0513843135477587,0
Neg_2386,0.0494048243742036,0
Neg_2835,0.092914709861358,0
Neg_2149,0.0454605118747694,0
Neg_2248,0.0383709151522294,0
Neg_2739,0.047468328545129,0
Neg_2580,0.0392656006839603,0
Neg_2765,0.0050221251495692,0
Neg_939,0.0469364486470601,0
Neg_1859,0.0439834117423809,0
Neg_1088,0.0113024651788174,0
Neg_448,0.1278402104284139,0
Neg_2831,0.0186628444886879,0
Neg_358,0.0779271027373996,0
Neg_2287,0.0433641622457015,0
Neg_2597,0.067754755352225,0
Neg_2648,0.0368819640765077,0
Neg_152,0.0337099374285696,0
Neg_2086,0.0375889577717352,0
Neg_966,0.0821929788090721,0
Neg_2081,0.0481913235389352,0
Neg_2579,0.0322250136777625,0
Neg_542,0.011637770957988,0
Neg_270,0.0542466979770956,0
Neg_447,0.1026299100904563,0
Neg_2242,0.0524670242377031,0
Neg_1615,0.0327378609903552,0
Neg_103,0.0704538870669071,0
Neg_1048,0.0393447389742364,0
Neg_628,0.0547328568215969,0
Neg_2169,0.0269077341393624,0
Neg_599,0.0196936602909314,0
Neg_2490,0.0253343424762975,0
Neg_62,0.0305698377708813,0
Neg_1129,0.0364422961847805,0
Neg_190,0.0965403448876209,0
Neg_1522,0.0525116130637693,0
Neg_165,0.0331353013130338,0
Neg_1152,0.0243863861275752,0
Neg_217,0.0643893840147842,0
Neg_1140,0.0655233492854649,0
Neg_2378,0.0498324500097427,0
Neg_1569,0.0295487357082527,0
Neg_662,0.0612708760760989,0
Neg_688,0.0550266209592522,0
Neg_541,0.0492541310222284,0
Neg_624,0.0632370274407752,0
Neg_2108,0.0148405927852955,0
Neg_2808,0.0024707807822839,0
Neg_2794,0.0955150917644359,0
Neg_2286,0.024110819166639,0
Neg_373,0.0333122052939569,0
Neg_2612,0.0130149878604219,0
Neg_937,0.0057488769900773,0
Neg_1345,0.0701065316504284,0
Neg_2671,0.0209972697759317,0
Neg_2855,0.0273405368224554,0
Neg_279,0.0420149578124677,0
Neg_706,0.040864369486221,0
Neg_2921,0.0679497641970545,0
Neg_994,0.0218205104693321,0
Neg_2453,0.1023442229735502,0
Neg_2074,0.070818097405407,0
Neg_1803,0.0277277683728108,0
Neg_653,0.0943337092401545,0
Neg_1943,0.0641641382328606,0
Neg_1283,0.0380839923258311,0
Neg_1383,0.047355916925341,0
Neg_325,0.0502273426112118,0
Neg_2702,0.0064544486999625,0
Neg_2180,0.0453484764270183,0
Neg_585,0.0305843315310737,0
Neg_2047,0.058452565832081,0
Neg_2392,0.0529701945394878,0
Neg_919,0.0429439561951674,0
Neg_2566,0.0381753725947713,0
Neg_404,0.1116224462067154,0
Neg_953,0.0170659585807838,0
Neg_1257,0.032673178693899,0
Neg_1680,0.0182060039913427,0
Neg_1098,0.1356319367969392,0
Neg_1404,0.0483701982252674,0
Neg_79,0.0366454069160648,0
Neg_2483,0.0188029276333804,0
Neg_2866,0.0937422871907864,0
Neg_133,0.0493474134943489,0
Neg_1514,0.0344375019993116,0
Neg_1790,0.0076712186700972,0
Neg_2219,0.0358966658153383,0
Neg_2758,0.0432290874877181,0
Neg_621,0.0666036434289288,0
Neg_904,0.177200680300934,0
Neg_736,0.0673512744001135,0
Neg_431,0.0554545927938594,0
Neg_2469,0.0258768365312581,0
Neg_2895,0.0385636162307972,0
Neg_202,0.0274480401221928,0
Neg_478,0.0868247698592397,0
Neg_1929,0.0221353448436658,0
Neg_1179,0.0749348686146667,0
Neg_116,0.0854939630421958,0
Neg_2854,0.0386762175185784,0
Neg_2229,0.0715373619510479,0
Neg_301,0.065357772021999,0
Neg_2264,0.0254828184436995,0
Neg_58,0.0353871570909817,0
Neg_37,0.056143956269385,0
Neg_1299,0.0463278785701154,0
Neg_2238,0.0963294834775038,0
Neg_1065,0.0131957738553014,0
Neg_2393,0.0570927871361538,0
Neg_1063,0.0316806317887515,0
Neg_2681,0.0483090609556001,0
Neg_1206,0.0457172511939487,0
Neg_926,0.0514608215242472,0
Neg_1834,0.1067429615019589,0
Neg_219,0.031898597368565,0
Neg_1051,0.0498535588557041,0
Neg_2732,0.0804920096064675,0
Neg_22,0.0559159790074453,0
Neg_2672,0.0319324163114147,0
Neg_1925,0.0135481708535726,0
Neg_1046,0.0728187435569865,0
