,Janin,y
peptide_nm_1,0.3188056333801259,0
peptide_nm_2,0.1204723318167213,0
peptide_nm_3,0.1878846055398665,0
peptide_nm_4,0.1772163741950271,0
peptide_nm_5,0.2090048764427606,0
peptide_nm_6,0.1017092154076892,0
peptide_nm_7,0.3377742610591419,0
peptide_nm_8,0.1908194542065391,0
peptide_nm_9,0.4071760910865186,0
peptide_nm_10,0.1213414113982785,0
peptide_nm_11,0.3443943141655162,0
peptide_nm_12,0.1753057839294358,0
peptide_nm_13,0.2179645252482453,0
peptide_nm_14,0.3395012429012545,0
peptide_nm_15,0.1665756814858587,0
peptide_nm_16,0.2006217207918809,0
peptide_nm_17,0.1064838772955407,0
peptide_nm_18,0.1345710940352699,0
peptide_nm_19,0.3789782387900324,0
peptide_nm_20,0.0676077011614718,0
peptide_nm_21,0.1233238168633284,0
peptide_nm_22,0.0712440969134918,0
peptide_nm_23,0.2165494540066843,0
peptide_nm_24,0.3024224858013283,0
peptide_nm_25,0.2037301338845783,0
peptide_nm_26,0.0975180940422976,0
peptide_nm_27,0.452272725644753,0
peptide_nm_28,0.2253065235529555,0
peptide_nm_29,0.3150604388372754,0
peptide_nm_30,0.115849280566987,0
peptide_nm_31,0.1065901447634128,0
peptide_nm_32,0.3319219982849321,0
peptide_nm_33,0.3140188553415711,0
peptide_nm_34,0.2741913623988529,0
peptide_nm_35,0.3209174296783145,0
peptide_nm_36,0.2918394799461533,0
peptide_nm_37,0.0664210711449955,0
peptide_nm_38,0.095702331907778,0
peptide_nm_39,0.1802136852961114,0
peptide_nm_40,0.0885746535663305,0
peptide_nm_41,0.2442208007897686,0
peptide_nm_43,0.3221647614422417,0
peptide_nm_44,0.2783969167500146,0
peptide_nm_45,0.1371190009572513,0
peptide_nm_46,0.0261001238894176,0
peptide_nm_47,0.1927521610663403,0
peptide_nm_48,0.4955583423039079,0
peptide_nm_49,0.0553895454553215,0
peptide_nm_50,0.0103135554359079,0
peptide_nm_51,0.0701216116499193,0
peptide_nm_52,0.3561516584044823,0
peptide_nm_53,0.1234216975341822,0
peptide_nm_54,0.3591721920297367,0
peptide_nm_55,0.2123502107657608,0
peptide_nm_56,0.1494675056522061,0
peptide_nm_57,0.0253268661947985,0
peptide_nm_58,0.1029994543048226,0
peptide_nm_59,0.2958661925145854,0
peptide_nm_60,0.0398959498067926,0
peptide_nm_61,0.2297371419828746,0
peptide_nm_62,0.2090318888347895,0
peptide_nm_63,0.2178858407048071,0
peptide_nm_64,0.1370907210863775,0
peptide_nm_65,0.2575869505597818,0
peptide_nm_66,0.128453862560615,0
peptide_nm_67,0.1441703474586878,0
peptide_nm_68,0.1608475486273978,0
peptide_nm_69,0.1280045707213865,0
peptide_nm_70,0.3450817925065152,0
peptide_nm_71,0.3523234730709613,0
peptide_nm_72,0.330703589821642,0
peptide_nm_73,0.2032727797179698,0
peptide_nm_74,0.2070925179706302,0
peptide_nm_75,0.2922377751602057,0
peptide_nm_76,0.0809705262571783,0
peptide_nm_77,0.0668904796186052,0
peptide_nm_78,0.2412500406115972,0
peptide_nm_79,0.1004178652698895,0
peptide_nm_80,0.110449322682959,0
peptide_nm_81,0.1292335442838973,0
peptide_nm_82,0.0606557780418868,0
peptide_nm_83,0.1754856251515721,0
peptide_nm_84,0.3094023314382933,0
peptide_nm_85,0.3829129488791827,0
peptide_nm_86,0.3219500235986259,0
peptide_nm_87,0.0942117692215636,0
peptide_nm_88,0.5037107413479583,0
peptide_nm_89,0.2484662191878426,0
peptide_nm_90,0.1616671024464091,0
