,Instability_index,y
peptide_nm_1,55.8,0
peptide_nm_2,46.55384615384615,0
peptide_nm_3,71.03333333333333,0
peptide_nm_4,82.40833333333333,0
peptide_nm_5,57.25217391304348,0
peptide_nm_6,48.785714285714285,0
peptide_nm_7,35.85625,0
peptide_nm_8,26.81875,0
peptide_nm_9,58.6375,0
peptide_nm_10,-4.191666666666668,0
peptide_nm_11,5.661538461538462,0
peptide_nm_12,14.119230769230771,0
peptide_nm_13,30.017241379310345,0
peptide_nm_14,12.210526315789474,0
peptide_nm_15,37.80434782608696,0
peptide_nm_16,63.69473684210526,0
peptide_nm_17,51.094594594594575,0
peptide_nm_18,47.14615384615385,0
peptide_nm_19,60.94736842105264,0
peptide_nm_20,14.152631578947368,0
peptide_nm_21,4.727777777777778,0
peptide_nm_22,2.1473684210526285,0
peptide_nm_23,0.0111111111111108,0
peptide_nm_24,65.88888888888889,0
peptide_nm_25,-25.82,0
peptide_nm_26,39.957142857142856,0
peptide_nm_27,15.007142857142862,0
peptide_nm_28,54.92222222222223,0
peptide_nm_29,64.25,0
peptide_nm_30,46.6,0
peptide_nm_31,8.155882352941175,0
peptide_nm_32,16.666666666666668,0
peptide_nm_33,9.230769230769232,0
peptide_nm_34,-25.02857142857143,0
peptide_nm_35,36.58125,0
peptide_nm_36,111.74166666666667,0
peptide_nm_37,19.204255319148945,0
peptide_nm_38,107.69629629629628,0
peptide_nm_39,26.18947368421053,0
peptide_nm_40,76.18846153846154,0
peptide_nm_41,72.23571428571428,0
peptide_nm_43,41.14166666666667,0
peptide_nm_44,87.63333333333334,0
peptide_nm_45,55.20689655172415,0
peptide_nm_46,35.95666666666665,0
peptide_nm_47,39.362,0
peptide_nm_48,-0.5769230769230755,0
peptide_nm_49,18.05,0
peptide_nm_50,39.78181818181819,0
peptide_nm_51,64.93333333333332,0
peptide_nm_52,5.994444444444445,0
peptide_nm_53,86.23333333333333,0
peptide_nm_54,-17.508333333333333,0
peptide_nm_55,46.8235294117647,0
peptide_nm_56,18.98275862068966,0
peptide_nm_57,9.975,0
peptide_nm_58,30.35384615384616,0
peptide_nm_59,14.222222222222223,0
peptide_nm_60,11.540625000000002,0
peptide_nm_61,91.1875,0
peptide_nm_62,37.25454545454546,0
peptide_nm_63,27.952631578947365,0
peptide_nm_64,12.346153846153843,0
peptide_nm_65,7.9333333333333345,0
peptide_nm_66,6.778260869565218,0
peptide_nm_67,108.52857142857142,0
peptide_nm_68,24.4625,0
peptide_nm_69,32.57931034482759,0
peptide_nm_70,34.19166666666667,0
peptide_nm_71,26.6,0
peptide_nm_72,76.21666666666668,0
peptide_nm_73,38.31666666666667,0
peptide_nm_74,38.18571428571428,0
peptide_nm_75,-14.954545454545457,0
peptide_nm_76,104.27222222222224,0
peptide_nm_77,4.326923076923078,0
peptide_nm_78,47.509523809523806,0
peptide_nm_79,61.21935483870967,0
peptide_nm_80,28.366666666666664,0
peptide_nm_81,12.498245614035094,0
peptide_nm_82,34.75551724137932,0
peptide_nm_83,16.618518518518517,0
peptide_nm_84,28.419047619047618,0
peptide_nm_85,62.69047619047621,0
peptide_nm_86,28.97586206896553,0
peptide_nm_87,31.209090909090914,0
peptide_nm_88,-3.830769230769232,0
peptide_nm_89,6.925000000000001,0
peptide_nm_90,61.57692307692308,0
peptide_nm_91,26.978947368421057,0
peptide_nm_92,17.127777777777773,0
peptide_nm_93,26.133333333333333,0
peptide_nm_94,36.40714285714287,0
peptide_nm_95,51.98260869565218,0
peptide_nm_96,81.67692307692309,0
peptide_nm_97,80.35,0
peptide_nm_98,12.91904761904762,0
peptide_nm_99,29.8,0
peptide_nm_100,9.53846153846154,0
peptide_nm_101,55.871428571428574,0
peptide_nm_102,62.807142857142864,0
peptide_nm_103,-8.9,0
peptide_nm_104,21.01739130434783,0
peptide_nm_105,5.953846153846157,0
peptide_nm_106,47.41538461538461,0
peptide_nm_107,104.32857142857144,0
peptide_nm_108,52.762380952380944,0
peptide_nm_109,68.4923076923077,0
peptide_nm_110,21.93888888888889,0
peptide_nm_111,35.56666666666667,0
peptide_nm_112,46.2,0
peptide_nm_113,30.266666666666676,0
peptide_nm_114,29.22500000000001,0
peptide_nm_115,99.65315789473684,0
peptide_nm_116,4.469230769230771,0
peptide_nm_117,23.042857142857148,0
peptide_nm_118,10.31818181818182,0
peptide_nm_119,73.36666666666667,0
peptide_nm_120,5.813636363636357,0
peptide_nm_121,45.622777777777785,0
peptide_nm_122,58.750000000000014,0
peptide_nm_123,44.41764705882353,0
peptide_nm_124,22.31666666666667,0
peptide_nm_125,8.493749999999999,0
peptide_nm_126,27.309090909090912,0
peptide_nm_127,69.52727272727272,0
peptide_nm_128,19.45,0
peptide_nm_129,56.70000000000001,0
peptide_nm_130,82.51818181818182,0
peptide_nm_131,68.84444444444445,0
peptide_nm_132,55.46666666666668,0
peptide_nm_133,43.647058823529406,0
peptide_nm_134,19.745454545454542,0
peptide_nm_135,25.726315789473684,0
peptide_nm_136,-0.0928571428571421,0
peptide_nm_137,3.344444444444446,0
peptide_nm_138,40.37692307692308,0
peptide_nm_139,42.713148148148136,0
peptide_nm_140,9.411764705882351,0
peptide_nm_141,4.021739130434784,0
peptide_nm_142,0.1538461538461553,0
peptide_nm_143,16.106250000000003,0
peptide_nm_144,41.26666666666667,0
peptide_nm_145,30.48620689655173,0
peptide_nm_146,50.55714285714286,0
peptide_nm_147,39.10000000000001,0
peptide_nm_148,56.35000000000001,0
peptide_nm_149,73.37307692307692,0
peptide_nm_150,1.805555555555556,0
peptide_nm_151,56.735714285714295,0
peptide_nm_152,12.818750000000003,0
peptide_nm_153,30.962068965517247,0
peptide_nm_154,-14.12777777777778,0
peptide_nm_155,44.85416666666668,0
peptide_nm_156,-3.438888888888888,0
peptide_nm_157,42.99473684210527,0
peptide_nm_158,30.641379310344835,0
peptide_nm_159,60.57878787878788,0
peptide_nm_160,40.72258064516129,0
peptide_nm_161,231.86250000000004,0
peptide_nm_162,18.883333333333333,0
peptide_nm_163,1.7615384615384633,0
peptide_nm_164,34.573913043478264,0
peptide_nm_165,56.06666666666667,0
peptide_nm_166,15.575,0
peptide_nm_167,50.61851851851851,0
peptide_nm_168,24.628571428571423,0
peptide_nm_169,-29.227777777777774,0
peptide_nm_170,88.46363636363638,0
peptide_nm_171,31.37857142857143,0
peptide_nm_172,20.52857142857143,0
peptide_nm_173,-6.345454545454546,0
peptide_nm_174,67.11923076923078,0
peptide_nm_175,21.08823529411765,0
peptide_nm_176,92.46304347826086,0
peptide_nm_177,39.81666666666667,0
peptide_nm_178,27.90833333333333,0
peptide_nm_179,54.650000000000006,0
peptide_nm_180,40.54629629629628,0
peptide_nm_181,27.116666666666667,0
peptide_nm_182,19.59375,0
peptide_nm_183,17.730434782608697,0
peptide_nm_184,56.587500000000006,0
peptide_nm_185,68.29615384615384,0
peptide_nm_186,28.631249999999994,0
peptide_nm_187,36.23529411764706,0
peptide_nm_188,59.655555555555566,0
peptide_nm_189,49.885185185185165,0
peptide_nm_190,38.07142857142857,0
peptide_nm_191,19.61071428571429,0
peptide_nm_192,65.11764705882352,0
peptide_nm_193,45.62083333333333,0
peptide_nm_194,104.93809523809522,0
peptide_nm_195,58.8,0
peptide_nm_196,39.9,0
peptide_nm_197,0.7812500000000006,0
peptide_nm_198,37.8,0
peptide_nm_199,22.42727272727273,0
peptide_nm_200,36.333333333333336,0
peptide_nm_201,51.542105263157886,0
peptide_nm_202,52.38333333333333,0
peptide_nm_203,16.079310344827583,0
peptide_nm_204,23.97142857142857,0
peptide_nm_205,20.41176470588235,0
peptide_nm_206,18.55384615384616,0
peptide_nm_207,39.84583333333334,0
peptide_nm_208,7.835714285714287,0
peptide_nm_209,45.32352941176472,0
peptide_nm_210,26.119230769230768,0
peptide_nm_211,53.24230769230768,0
peptide_nm_212,26.779310344827586,0
peptide_nm_213,23.51351351351352,0
peptide_nm_214,55.142857142857146,0
peptide_nm_215,25.21666666666667,0
peptide_nm_216,19.610526315789475,0
peptide_nm_217,19.52903225806452,0
peptide_nm_218,79.93846153846154,0
peptide_nm_219,72.23157894736842,0
peptide_nm_220,18.608695652173918,0
peptide_nm_221,66.67142857142858,0
peptide_nm_222,50.61363636363637,0
peptide_nm_223,10.711111111111112,0
peptide_nm_224,91.94090909090907,0
peptide_nm_225,79.375,0
peptide_nm_226,27.77692307692308,0
peptide_nm_227,63.900000000000006,0
peptide_nm_228,-0.7333333333333325,0
peptide_nm_229,56.057142857142864,0
peptide_nm_230,2.091666666666667,0
peptide_nm_231,56.06666666666667,0
peptide_nm_232,25.920689655172417,0
peptide_nm_233,12.209375,0
peptide_nm_234,43.91904761904762,0
peptide_nm_235,24.83529411764706,0
peptide_nm_236,37.1,0
