,Bulkiness,y
peptide_nm_1,0.0035212249340293,0
peptide_nm_2,0.1185659897322094,0
peptide_nm_3,0.0766893493671505,0
peptide_nm_4,0.0709583523662634,0
peptide_nm_5,0.0078672566689009,0
peptide_nm_6,0.0300178922458267,0
peptide_nm_7,0.1346091167388168,0
peptide_nm_8,0.0783794813446055,0
peptide_nm_9,0.0505368083195927,0
peptide_nm_10,0.1133833567859163,0
peptide_nm_11,0.0544156770684673,0
peptide_nm_12,0.0531858656511414,0
peptide_nm_13,0.0584335032131617,0
peptide_nm_14,0.053074584574355,0
peptide_nm_15,0.0081714286099918,0
peptide_nm_16,0.0993237653424195,0
peptide_nm_17,0.0064920498953443,0
peptide_nm_18,0.1158749372054026,0
peptide_nm_19,0.0319639632107025,0
peptide_nm_20,0.0940750117560337,0
peptide_nm_21,0.0808912505918423,0
peptide_nm_22,0.1325050060969012,0
peptide_nm_23,0.0275133688946792,0
peptide_nm_24,0.0743772306359391,0
peptide_nm_25,0.2303755516798385,0
peptide_nm_26,0.0376396919185665,0
peptide_nm_27,0.0676142860244389,0
peptide_nm_28,0.074509530763239,0
peptide_nm_29,0.0070620477831337,0
peptide_nm_30,0.0080032833348692,0
peptide_nm_31,0.057161479817518,0
peptide_nm_32,0.1604235332748633,0
peptide_nm_33,0.1052350499012266,0
peptide_nm_34,0.067201961283955,0
peptide_nm_35,0.0355985190565353,0
peptide_nm_36,0.0987083978272781,0
peptide_nm_37,0.0766075268734042,0
peptide_nm_38,0.0758879856724579,0
peptide_nm_39,0.1217028991923496,0
peptide_nm_40,0.0574587070631687,0
peptide_nm_41,0.026797179371533,0
peptide_nm_43,0.0350120174057769,0
peptide_nm_44,0.0629178775673946,0
peptide_nm_45,0.0201998971036126,0
peptide_nm_46,0.0401796574195512,0
peptide_nm_47,0.0251720396908973,0
peptide_nm_48,0.1002153014167378,0
peptide_nm_49,0.1311902549611893,0
peptide_nm_50,0.0451357985448008,0
peptide_nm_51,0.0665685858524795,0
peptide_nm_52,0.011461908248915,0
peptide_nm_53,0.0560890162924533,0
peptide_nm_54,0.05845267340505,0
peptide_nm_55,0.0454380912616839,0
peptide_nm_56,0.0823872430344558,0
peptide_nm_57,0.055054076597058,0
peptide_nm_58,0.0938035160033925,0
peptide_nm_59,0.0629142323385087,0
peptide_nm_60,0.0525053582049343,0
peptide_nm_61,0.0202886722835996,0
peptide_nm_62,0.065722205346771,0
peptide_nm_63,0.0112145862740884,0
peptide_nm_64,0.0724575087485498,0
peptide_nm_65,0.0804370533213073,0
peptide_nm_66,0.0648729719681577,0
peptide_nm_67,0.042488343715444,0
peptide_nm_68,0.0171680710824261,0
peptide_nm_69,0.014881051958827,0
peptide_nm_70,0.0517790733225362,0
peptide_nm_71,0.0954601930988047,0
peptide_nm_72,0.0115859349739109,0
peptide_nm_73,0.051827287665669,0
peptide_nm_74,0.0688794163699945,0
peptide_nm_75,0.0542916255773467,0
peptide_nm_76,0.056450422624243,0
peptide_nm_77,0.017619726303974,0
peptide_nm_78,0.0900782894239125,0
peptide_nm_79,0.0473357226058812,0
peptide_nm_80,0.1478626182951196,0
peptide_nm_81,0.0310639683708594,0
peptide_nm_82,0.0924750950012554,0
peptide_nm_83,0.0794364231701462,0
peptide_nm_84,0.0219849325588278,0
peptide_nm_85,0.0362946996887631,0
peptide_nm_86,0.0399268381572567,0
peptide_nm_87,0.0551949936344385,0
peptide_nm_88,0.0624179182823378,0
peptide_nm_89,0.1107345046010862,0
peptide_nm_90,0.0773776858407306,0
peptide_nm_91,0.0936751742508398,0
peptide_nm_92,0.0363894520790047,0
peptide_nm_93,0.0209077506322773,0
peptide_nm_94,0.0427093728749882,0
peptide_nm_95,0.0858922492303961,0
peptide_nm_96,0.0989175754057976,0
peptide_nm_97,0.1059701058953661,0
peptide_nm_98,0.0365030872584123,0
peptide_nm_99,0.0911881306914658,0
peptide_nm_100,0.0575862864242293,0
peptide_nm_101,0.0282342886597155,0
peptide_nm_102,0.1031917203828858,0
peptide_nm_103,0.1434619514216974,0
peptide_nm_104,0.1272307256970509,0
peptide_nm_105,0.0871754309222589,0
peptide_nm_106,0.1097986452052473,0
peptide_nm_107,0.0758469973185574,0
peptide_nm_108,0.0716471771347414,0
peptide_nm_109,0.0765772285064163,0
peptide_nm_110,0.0395093275668968,0
peptide_nm_111,0.0438157602118638,0
peptide_nm_112,0.0665363393614918,0
peptide_nm_113,0.0401321451082328,0
peptide_nm_114,0.0578342845119011,0
peptide_nm_115,0.0572867216707208,0
peptide_nm_116,0.0584875546986348,0
peptide_nm_117,0.0962338948982129,0
peptide_nm_118,0.0410963528594348,0
peptide_nm_119,0.0162542682242245,0
peptide_nm_120,0.0508557241354123,0
peptide_nm_121,0.0205740244191707,0
peptide_nm_122,0.0563025913088173,0
peptide_nm_123,0.0913626447534888,0
peptide_nm_124,0.1068485312045602,0
peptide_nm_125,0.0556863498233955,0
peptide_nm_126,0.0787476229022222,0
peptide_nm_127,0.0639860773854428,0
peptide_nm_128,0.2063565079208549,0
peptide_nm_129,0.0265216365991723,0
peptide_nm_130,0.0383333597695757,0
