,AASI,y
peptide_nm_1,0.2800936631495135,0
peptide_nm_2,0.3313489080399093,0
peptide_nm_3,0.1151372339446005,0
peptide_nm_4,0.2252222582904552,0
peptide_nm_5,0.2255796266377296,0
peptide_nm_6,0.2412448913339026,0
peptide_nm_7,0.2089000896939542,0
peptide_nm_8,0.2019778081503496,0
peptide_nm_9,0.2501135216246553,0
peptide_nm_10,0.2421804487426863,0
peptide_nm_11,0.1835925910500229,0
peptide_nm_12,0.1416765200492932,0
peptide_nm_13,0.0854303306215012,0
peptide_nm_14,0.0957424673919776,0
peptide_nm_15,0.3123517607615257,0
peptide_nm_16,0.24893699921704,0
peptide_nm_17,0.0392384451153973,0
peptide_nm_18,0.350025612244928,0
peptide_nm_19,0.1632945280168446,0
peptide_nm_20,0.2353846190916611,0
peptide_nm_21,0.0201120101822873,0
peptide_nm_22,0.1029148181561581,0
peptide_nm_23,0.0821484479136704,0
peptide_nm_24,0.2342680727532911,0
peptide_nm_25,0.2369034004206457,0
peptide_nm_26,0.162513968802781,0
peptide_nm_27,0.1154244453096318,0
peptide_nm_28,0.1553055121150256,0
peptide_nm_29,0.1156508318675813,0
peptide_nm_30,0.2823342345932061,0
peptide_nm_31,0.057128189767937,0
peptide_nm_32,0.2227900333322415,0
peptide_nm_33,0.1240655476732556,0
peptide_nm_34,0.2569643576520373,0
peptide_nm_35,0.1276661141150344,0
peptide_nm_36,0.410585641600534,0
peptide_nm_37,0.0756499864745646,0
peptide_nm_38,0.1653513521912374,0
peptide_nm_39,0.3047780508738579,0
peptide_nm_40,0.1166701021261473,0
peptide_nm_41,0.1517990349164464,0
peptide_nm_43,0.2640192994640644,0
peptide_nm_44,0.3480616745724232,0
peptide_nm_45,0.1105611927422881,0
peptide_nm_46,0.0884950245225157,0
peptide_nm_47,0.0834489165488152,0
peptide_nm_48,0.296388426077337,0
peptide_nm_49,0.2618275846012277,0
peptide_nm_50,0.0919909881781384,0
peptide_nm_51,0.1403403368445227,0
peptide_nm_52,0.0708898856586705,0
peptide_nm_53,0.2560333494185104,0
peptide_nm_54,0.2485474847486038,0
peptide_nm_55,0.1437349534701228,0
peptide_nm_56,0.0385102139390036,0
peptide_nm_57,0.3149745196648661,0
peptide_nm_58,0.1437590864624375,0
peptide_nm_59,0.0746084032736775,0
peptide_nm_60,0.122209902607727,0
peptide_nm_61,0.2934366316374709,0
peptide_nm_62,0.3739244342399557,0
peptide_nm_63,0.2905637421586008,0
peptide_nm_64,0.0878787966774933,0
peptide_nm_65,0.1752917181529037,0
peptide_nm_66,0.1031454021521547,0
peptide_nm_67,0.1678626931173292,0
peptide_nm_68,0.4932877058329676,0
peptide_nm_69,0.1523611281596193,0
peptide_nm_70,0.1821922488081411,0
peptide_nm_71,0.2138679697898946,0
peptide_nm_72,0.1234906102789351,0
peptide_nm_73,0.1002714269501819,0
peptide_nm_74,0.2248249836506343,0
peptide_nm_75,0.2254710049395813,0
peptide_nm_76,0.145976739325104,0
peptide_nm_77,0.0938086936978643,0
peptide_nm_78,0.1995879360105886,0
peptide_nm_79,0.1238707345386092,0
peptide_nm_80,0.1921304094142428,0
peptide_nm_81,0.031966247154699,0
peptide_nm_82,0.1289834339508423,0
peptide_nm_83,0.0832048217576952,0
peptide_nm_84,0.136870770465297,0
peptide_nm_85,0.1535760385307876,0
peptide_nm_86,0.167867389521734,0
peptide_nm_87,0.0637504606137006,0
peptide_nm_88,0.3465698703175823,0
peptide_nm_89,0.2076309287608277,0
peptide_nm_90,0.2407980310819502,0
peptide_nm_91,0.1319290886648145,0
peptide_nm_92,0.1202921979760316,0
peptide_nm_93,0.0656582524881629,0
peptide_nm_94,0.0406160763022054,0
peptide_nm_95,0.1687951048806893,0
peptide_nm_96,0.1035117262942996,0
peptide_nm_97,0.258726027581654,0
peptide_nm_98,0.2053377524748745,0
peptide_nm_99,0.2742935270223828,0
peptide_nm_100,0.2503254734651863,0
peptide_nm_101,0.1033840028982606,0
peptide_nm_102,0.1455183096961165,0
peptide_nm_103,0.1352237820299702,0
peptide_nm_104,0.1014855883664865,0
peptide_nm_105,0.2965680316133333,0
peptide_nm_106,0.1457980623677327,0
peptide_nm_107,0.0744069903103279,0
peptide_nm_108,0.1017086524824191,0
peptide_nm_109,0.407080136876577,0
peptide_nm_110,0.173732759314127,0
peptide_nm_111,0.307370683605267,0
peptide_nm_112,0.0889704455953659,0
peptide_nm_113,0.0270235551134994,0
peptide_nm_114,0.1110768144296301,0
peptide_nm_115,0.0619723398365187,0
peptide_nm_116,0.2910084916573073,0
peptide_nm_117,0.1435884503097863,0
peptide_nm_118,0.174176602895008,0
peptide_nm_119,0.5606388425998051,0
peptide_nm_120,0.1112932312725719,0
peptide_nm_121,0.0319536721635847,0
peptide_nm_122,0.1588328685002155,0
