,Eisenberg,y
peptide_nm_1,0.3474450884041911,0
peptide_nm_2,0.2373182644060776,0
peptide_nm_3,0.1612980310852082,0
peptide_nm_4,0.1940581801870144,0
peptide_nm_5,0.1687078161626026,0
peptide_nm_6,0.135956572546999,0
peptide_nm_7,0.5038628115155162,0
peptide_nm_8,0.2186424212416704,0
peptide_nm_9,0.3352330724541187,0
peptide_nm_10,0.2006411063264619,0
peptide_nm_11,0.275156369115446,0
peptide_nm_12,0.1784243095830913,0
peptide_nm_13,0.1298293409234761,0
peptide_nm_14,0.2812933837857313,0
peptide_nm_15,0.0877516074985595,0
peptide_nm_16,0.2922538443506109,0
peptide_nm_17,0.0822216867054591,0
peptide_nm_18,0.1074193351644383,0
peptide_nm_19,0.3530752314587253,0
peptide_nm_20,0.1425434921236035,0
peptide_nm_21,0.1505582975970006,0
peptide_nm_22,0.0356969028408218,0
peptide_nm_23,0.1869202634657981,0
peptide_nm_24,0.3518869943306124,0
peptide_nm_25,0.5985633076492138,0
peptide_nm_26,0.1291458340527814,0
peptide_nm_27,0.4029966364326844,0
peptide_nm_28,0.2322910402008716,0
peptide_nm_29,0.2255490952918315,0
peptide_nm_30,0.2130329262902651,0
peptide_nm_31,0.1185669888076546,0
peptide_nm_32,0.1242470670262877,0
peptide_nm_33,0.3594688765476501,0
peptide_nm_34,0.3343510252003507,0
peptide_nm_35,0.1744565040085524,0
peptide_nm_36,0.2996595112564819,0
peptide_nm_37,0.019299979964483,0
peptide_nm_38,0.0779276234290536,0
peptide_nm_39,0.2635872564211341,0
peptide_nm_40,0.1063873253148176,0
peptide_nm_41,0.2155534569319113,0
peptide_nm_43,0.5004687389787623,0
peptide_nm_44,0.3314170437139954,0
peptide_nm_45,0.0994995242144333,0
peptide_nm_46,0.0173808034001424,0
peptide_nm_47,0.0943522798215379,0
peptide_nm_48,0.4116614938035168,0
peptide_nm_49,0.0929006715279729,0
peptide_nm_50,0.012628162278403,0
peptide_nm_51,0.0661481634222972,0
peptide_nm_52,0.338892241744438,0
peptide_nm_53,0.2259798540706703,0
peptide_nm_54,0.279540213929658,0
peptide_nm_55,0.2231366949538132,0
peptide_nm_56,0.1829071121339459,0
peptide_nm_57,0.0218277187300916,0
peptide_nm_58,0.0465306623848558,0
peptide_nm_59,0.2943334958305778,0
peptide_nm_60,0.0696613463709269,0
peptide_nm_61,0.2531604207454717,0
peptide_nm_62,0.2437778693585675,0
peptide_nm_63,0.2132576732777981,0
peptide_nm_64,0.108227125945459,0
peptide_nm_65,0.2591516471804085,0
peptide_nm_66,0.2308514338532523,0
peptide_nm_67,0.0660989646899725,0
peptide_nm_68,0.1353459929466244,0
peptide_nm_69,0.1148052211564293,0
peptide_nm_70,0.3197329022608265,0
peptide_nm_71,0.3992317095713929,0
peptide_nm_72,0.3891172873424564,0
peptide_nm_73,0.2285833393178601,0
peptide_nm_74,0.205884719057223,0
peptide_nm_75,0.2175066118635301,0
peptide_nm_76,0.0595458386937081,0
peptide_nm_77,0.1094807282567695,0
peptide_nm_78,0.2912237749881938,0
peptide_nm_79,0.1355127978560316,0
peptide_nm_80,0.1277738336108369,0
peptide_nm_81,0.1496308609718508,0
peptide_nm_82,0.0721749191860373,0
peptide_nm_83,0.1665633302583473,0
peptide_nm_84,0.2918347796701062,0
peptide_nm_85,0.3241944593074602,0
peptide_nm_86,0.3879274321737651,0
peptide_nm_87,0.1257062335215719,0
peptide_nm_88,0.4706841785883324,0
peptide_nm_89,0.2963052068385239,0
peptide_nm_90,0.1395570974778394,0
peptide_nm_91,0.1572570911435232,0
peptide_nm_92,0.5033053873715762,0
peptide_nm_93,0.2496916923554762,0
peptide_nm_94,0.0671680730346397,0
peptide_nm_95,0.0447249926680496,0
peptide_nm_96,0.3155515762859666,0
peptide_nm_97,0.3689381260865192,0
peptide_nm_98,0.331458289510783,0
peptide_nm_99,0.5137307145375748,0
peptide_nm_100,0.0825660689310794,0
peptide_nm_101,0.1964804325793327,0
peptide_nm_102,0.2679592031081593,0
peptide_nm_103,0.1745975460898239,0
peptide_nm_104,0.3576856904047465,0
peptide_nm_105,0.0865078979338585,0
peptide_nm_106,0.4832725440305194,0
peptide_nm_107,0.2370773787015702,0
peptide_nm_108,0.1232942356982394,0
peptide_nm_109,0.2911820934925711,0
peptide_nm_110,0.3250704526033881,0
peptide_nm_111,0.1262188449962063,0
peptide_nm_112,0.1656900988673542,0
peptide_nm_113,0.0607833671609097,0
peptide_nm_114,0.2111870607135517,0
peptide_nm_115,0.2031220070500616,0
peptide_nm_116,0.0415605630604037,0
peptide_nm_117,0.1983895459983644,0
peptide_nm_118,0.284135207377143,0
peptide_nm_119,0.3973410205081267,0
peptide_nm_120,0.419280556205508,0
peptide_nm_121,0.1926231741599823,0
peptide_nm_122,0.2505950630863711,0
peptide_nm_123,0.1217048417301271,0
peptide_nm_124,0.3249727983118389,0
peptide_nm_125,0.3397641910953701,0
peptide_nm_126,0.2459833697693891,0
peptide_nm_127,0.1604103583717891,0
peptide_nm_128,0.2366419849166662,0
peptide_nm_129,0.0707377293287227,0
peptide_nm_130,0.1002523352130816,0
peptide_nm_131,0.4580331831167074,0
peptide_nm_132,0.3213041045622878,0
peptide_nm_133,0.4012226648208059,0
peptide_nm_134,0.2069427585021507,0
peptide_nm_135,0.143829889318778,0
peptide_nm_136,0.3161224355156682,0
peptide_nm_137,0.1303819372199229,0
peptide_nm_138,0.3472912603684889,0
peptide_nm_139,0.2315356436921288,0
peptide_nm_140,0.2897594025533054,0
peptide_nm_141,0.0586924286491087,0
peptide_nm_142,0.2528853941275855,0
peptide_nm_143,0.2708588215190954,0
peptide_nm_144,0.1379471321418051,0
peptide_nm_145,0.1752214574386693,0
peptide_nm_146,0.2666242298624123,0
peptide_nm_147,0.3647297369384275,0
peptide_nm_148,0.0805861429680318,0
peptide_nm_149,0.1811967331850373,0
peptide_nm_150,0.1433502392179158,0
peptide_nm_151,0.2854675152958851,0
peptide_nm_152,0.0427271551614215,0
peptide_nm_153,0.1324203714345809,0
peptide_nm_154,0.0823734862565908,0
peptide_nm_155,0.2181583909606758,0
peptide_nm_156,0.1308533053923216,0
peptide_nm_157,0.3479728628689476,0
peptide_nm_158,0.3320207491608301,0
peptide_nm_159,0.1549516020182555,0
peptide_nm_160,0.2379756186123552,0
peptide_nm_161,0.2104656159157332,0
peptide_nm_162,0.1617202796211546,0
peptide_nm_163,0.2227850951591869,0
peptide_nm_164,0.1646720118443887,0
peptide_nm_165,0.3185781023937117,0
peptide_nm_166,0.1530147888012194,0
peptide_nm_167,0.1533777304368569,0
peptide_nm_168,0.0467222360827993,0
peptide_nm_169,0.2353974251827728,0
peptide_nm_170,0.1391361932403092,0
peptide_nm_171,0.0407949127603336,0
peptide_nm_172,0.2430218512712477,0
peptide_nm_173,0.1861036985889567,0
peptide_nm_174,0.2319762184059858,0
peptide_nm_175,0.2874783317721308,0
peptide_nm_176,0.2135418992711761,0
peptide_nm_177,0.1420452103851599,0
peptide_nm_178,0.2159912205654904,0
peptide_nm_179,0.3763601618030231,0
peptide_nm_180,0.2720560071785524,0
peptide_nm_181,0.1686833458719693,0
peptide_nm_182,0.0282633340872722,0
peptide_nm_183,0.2292778240173428,0
peptide_nm_184,0.1854025766250658,0
peptide_nm_185,0.1650009704109133,0
peptide_nm_186,0.1041677195932967,0
peptide_nm_187,0.4082470441656498,0
peptide_nm_188,0.1715949175062288,0
peptide_nm_189,0.1142267643094981,0
peptide_nm_190,0.3711437723068975,0
peptide_nm_191,0.0940014905189271,0
peptide_nm_192,0.4578936657561989,0
peptide_nm_193,0.4886381912078968,0
peptide_nm_194,0.2778141600518279,0
peptide_nm_195,0.3968898294792649,0
peptide_nm_196,0.1831995929753706,0
peptide_nm_197,0.1102314611131447,0
peptide_nm_198,0.3300167589097758,0
peptide_nm_199,0.200488192265793,0
peptide_nm_200,0.2428033093755962,0
peptide_nm_201,0.0253799092178019,0
peptide_nm_202,0.2283775049436459,0
peptide_nm_203,0.1237965353472236,0
peptide_nm_204,0.1083977890137285,0
peptide_nm_205,0.0724001649981243,0
peptide_nm_206,0.2665782991607412,0
peptide_nm_207,0.0882474474967888,0
peptide_nm_208,0.3852339589301388,0
peptide_nm_209,0.0365359630071035,0
peptide_nm_210,0.0900221161143857,0
peptide_nm_211,0.1732815226045118,0
peptide_nm_212,0.3894082648013673,0
peptide_nm_213,0.0547201192237615,0
peptide_nm_214,0.2951317155340622,0
peptide_nm_215,0.2153848727677552,0
peptide_nm_216,0.2958328875761692,0
peptide_nm_217,0.1685641600312851,0
peptide_nm_218,0.0214245300727946,0
peptide_nm_219,0.306213275954575,0
peptide_nm_220,0.4313211858638864,0
peptide_nm_221,0.2227765441352212,0
peptide_nm_222,0.2375419679218663,0
peptide_nm_223,0.3855559566716359,0
peptide_nm_224,0.035612168345716,0
peptide_nm_225,0.1799317957509982,0
peptide_nm_226,0.0705765918390011,0
peptide_nm_227,0.2436887121317941,0
peptide_nm_228,0.5841997646027521,0
peptide_nm_229,0.4302641326778248,0
peptide_nm_230,0.1078868437824432,0
peptide_nm_231,0.4351874001843279,0
peptide_nm_232,0.115892095337445,0
